YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_AIRLINE_ID,OP_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,DEP_TIME_BLK,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,ARR_TIME_BLK,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,FLIGHTS,DISTANCE,DISTANCE_GROUP,DIV_AIRPORT_LANDINGS
2022,2,4,15,5,4/15/2022 12:00:00 AM,OH,20397,OH,N582NN,5307,13230,1323002,32070,MDT,"Harrisburg, PA",PA,42,Pennsylvania,23,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1108,1058.0,-10.0,0.0,0.0,-1.0,1100-1159,16.0,1114.0,1228.0,5.0,1242,1233.0,-9.0,0.0,0.0,-1.0,1200-1259,0.0,0.0,94.0,95.0,74.0,1.0,413.0,2,0
2022,2,4,16,6,4/16/2022 12:00:00 AM,OH,20397,OH,N575NN,5307,13230,1323002,32070,MDT,"Harrisburg, PA",PA,42,Pennsylvania,23,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1108,1105.0,-3.0,0.0,0.0,-1.0,1100-1159,13.0,1118.0,1229.0,7.0,1242,1236.0,-6.0,0.0,0.0,-1.0,1200-1259,0.0,0.0,94.0,91.0,71.0,1.0,413.0,2,0
2022,2,4,17,7,4/17/2022 12:00:00 AM,OH,20397,OH,N562NN,5307,13230,1323002,32070,MDT,"Harrisburg, PA",PA,42,Pennsylvania,23,11057,1105703,31057,CLT,"Charlotte, NC",NC,37,North Carolina,36,1108,1056.0,-12.0,0.0,0.0,-1.0,1100-1159,10.0,1106.0,1217.0,3.0,1242,1220.0,-22.0,0.0,0.0,-2.0,1200-1259,0.0,0.0,94.0,84.0,71.0,1.0,413.0,2,0
